Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp,Kota,combined_features
Seed,Kafe,"Plaza Kemang 88
Jl. Kemang Raya No. 86 - 88, Kemang, Jakarta Selatan",200000,4.09,2025-06-03 22:28:48.985352,Jakarta Selatan,Kafe Kafe Jakarta Selatan
RM Pagi Sore,Indonesia,"Jl. Rawamangun Muka Timur No. 1A, Rawamangun, Jakarta Timur",75000,4.07,2025-06-03 22:28:49.230232,Jakarta Timur,Indonesia Indonesia Jakarta Timur
Roti Boy,Toko Roti,"Mal Kelapa Gading 3, Lantai Ground, Gourmet Walk
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",50000,4.09,2025-06-03 22:28:49.310078,Jakarta Utara,Toko Roti Toko Roti Jakarta Utara
Paris Baguette,Kafe,"Pondok Indah Mall 3, Lantai Ground
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.09,2025-06-03 22:28:49.517254,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Anbai,Jepang,"Little Tokyo Melawai
Jl. Melawai VIII No. 4, Melawai, Kebayoran Baru, Jakarta Selatan",150000,4.02,2025-06-03 22:28:49.823354,Jakarta Selatan,Jepang Jepang Jakarta Selatan
PAUL,Kafe,"Plaza Senayan, Lantai 1
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,3.99,2025-06-03 22:28:50.120890,Jakarta Selatan,Kafe Kafe Jakarta Selatan
JCO Donuts  Coffee,Kafe,"Puri Indah Mall, Lantai Ground
Jl. Puri Indah Raya, Puri, Jakarta Barat",50000,3.95,2025-06-03 22:28:50.396334,Jakarta Barat,Kafe Kafe Jakarta Barat
Bebek Bentu,Indonesia,"Jl. Cempaka Putih Barat XXVI No. 10, Cempaka Putih, Jakarta Pusat",50000,4.2,2025-06-03 22:28:50.669881,Jakarta Pusat,Indonesia Indonesia Jakarta Pusat
Mamitoko,Kafe,"La Piazza, Gafoy
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.4,2025-06-03 22:28:50.976562,Jakarta Utara,Kafe Kafe Jakarta Utara
East Quarter,"Barat,Indonesia","Grand Indonesia Mall, Lantai Lower Ground, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.37,2025-06-03 22:28:51.258976,Jakarta Pusat,"Barat,Indonesia Barat,Indonesia Jakarta Pusat"
Expat Roasters,Kafe,"Jakarta Mori Tower, Lantai 13
Jl. Jenderal Sudirman Kav 40 - 41, Sudirman, Jakarta Pusat",150000,4.4,2025-06-03 22:28:54.985800,Jakarta Pusat,Kafe Kafe Jakarta Pusat
RivaReno Gelato,Es Krim,"Urban Forest
Jl. RS Fatmawati No. 45, Fatmawati, Jakarta Selatan",75000,4.05,2025-06-03 22:28:55.287351,Jakarta Selatan,Es Krim Es Krim Jakarta Selatan
Baker Man,Kafe,"One Satrio
Jl. Prof Dr Satrio, Kuningan, Jakarta Selatan",150000,4.15,2025-06-03 22:28:55.590264,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Noon Tea Bar,Minuman,"Pusat Grosir Cililitan, Lantai Ground, Halte Walk
Jl. Mayjen Sutoyo No. 76, Cililitan, Jakarta Timur",50000,4.65,2025-06-03 22:28:55.899449,Jakarta Timur,Minuman Minuman Jakarta Timur
GwangJang Market,Korea,"Jl. Dr. Saharjo No. 1, Tebet, Jakarta Selatan",150000,4.87,2025-06-03 22:28:56.198135,Jakarta Selatan,Korea Korea Jakarta Selatan
KK Style Cafe,Kafe,"Jl. Arteri Kelapa Gading Blok C No. 29, Kelapa Gading, Jakarta Utara",50000,4.4,2025-06-03 22:28:56.423787,Jakarta Utara,Kafe Kafe Jakarta Utara
Rempah Bistro,Indonesia,"Mall Artha Gading, Lantai 2
Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",75000,4.3,2025-06-03 22:28:56.556926,Jakarta Utara,Indonesia Indonesia Jakarta Utara
Work Coffee,Kafe,"Jl. H Ipin No. 81, Lebak Bulus, Jakarta Selatan",75000,4.09,2025-06-03 22:28:56.654346,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Mie Gacoan,Indonesia,"Jl. Tebet Raya No. 35, Tebet, Jakarta Selatan",50000,4.01,2025-06-03 22:28:56.830529,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
