Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp,Kota,combined_features
Bakmi Naga,Indonesia,"City Plaza Jatinegara, Lantai Ground
Jl. Matraman Raya No. 173 - 175, Matraman, Jakarta Timur",75000,4.33,2025-06-03 22:23:27.072604,Jakarta Timur,Indonesia Indonesia Jakarta Timur
Sama Dengan,Kafe,"Kalibata City Square, Tower F
Jl. Kalibata Raya No. 1, Kalibata, Jakarta Selatan",75000,4.13,2025-06-03 22:23:27.322872,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Ganesha Ek Sanskriti,India,"Center Park Building, BRI II, Lantai 9
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",150000,4.21,2025-06-03 22:23:27.583639,Jakarta Pusat,India India Jakarta Pusat
Mie Love U,China,"Jl. Mangga Raya No. 13, Green Ville, Jakarta Barat",50000,4.42,2025-06-03 22:23:27.738892,Jakarta Barat,China China Jakarta Barat
RamenYA,Jepang,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.21,2025-06-03 22:23:27.975978,Jakarta Barat,Jepang Jepang Jakarta Barat
Hokkaido Izakaya,Jepang,"Apartemen Pavilion Sudirman, Lantai Ground
Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",150000,4.14,2025-06-03 22:23:28.242554,Jakarta Pusat,Jepang Jepang Jakarta Pusat
Haagen  Dazs,Es Krim,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.23,2025-06-03 22:23:28.518838,Jakarta Utara,Es Krim Es Krim Jakarta Utara
Chicken Embassy,Kafe,"Jl. Kesehatan No. 42, Tanah Abang, Jakarta Pusat",75000,4.68,2025-06-03 22:23:32.170694,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Mike Pizza,Italia,"Jl. Kemang Selatan VIII No. 51C, Kemang, Jakarta Selatan",150000,4.18,2025-06-03 22:23:32.424461,Jakarta Selatan,Italia Italia Jakarta Selatan
Mr Fox,Barat,"Energy Building, Lantai Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.14,2025-06-03 22:23:32.680934,Jakarta Selatan,Barat Barat Jakarta Selatan
Born Ga,Korea,"Jl. Bulungan Raya No. 14, Blok M, Kebayoran Baru, Jakarta Selatan",150000,4.51,2025-06-03 22:23:32.928473,Jakarta Selatan,Korea Korea Jakarta Selatan
Winglok Hongkong Dimsum,China,"Jl. Pangeran Antasari No. 88, Kemang, Jakarta Selatan",75000,4.06,2025-06-03 22:23:33.162986,Jakarta Selatan,China China Jakarta Selatan
Papa  Mama Bistro and Coffee,Kafe,"Ruko Beach Theme Park, Blok D No. 23
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.47,2025-06-03 22:23:33.441952,Jakarta Utara,Kafe Kafe Jakarta Utara
Sliced Pizzeria,Italia,"Jl. Terogong Raya No. 29, Pondok Indah, Jakarta Selatan",75000,4.17,2025-06-03 22:23:33.708308,Jakarta Selatan,Italia Italia Jakarta Selatan
Paulaner Brauhaus,Jerman,"Grand Indonesia Mall, Lantai 2, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.12,2025-06-03 22:23:33.970688,Jakarta Pusat,Jerman Jerman Jakarta Pusat
KINA,Kafe,"Jl. Birah II No. 82, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.13,2025-06-03 22:23:34.210839,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Carbon,"Meksiko,Peru","MD Place, Lantai 11
Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan",200000,4.32,2025-06-03 22:23:34.467621,Jakarta Selatan,"Meksiko,Peru Meksiko,Peru Jakarta Selatan"
BSteak Grill  Pancake,Barat,"Jl. Green Ville Blok AS No. 32, Green Ville, Jakarta Barat",150000,4.11,2025-06-03 22:23:34.742828,Jakarta Barat,Barat Barat Jakarta Barat
SiniLagi,Kafe,"Ruko Puri Kencana, Blok K7 No. 3U
Jl. Puri Kencana, Puri, Jakarta Barat",75000,4.15,2025-06-03 22:23:35.006828,Jakarta Barat,Kafe Kafe Jakarta Barat
Bistecca,Barat,"18 Parc SCBD, Tower C, Lantai Ground
Jl. Jenderal Sudirman Kav 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.26,2025-06-03 22:23:38.715949,Jakarta Selatan,Barat Barat Jakarta Selatan
The Green Door Kitchen,Barat,"Mahaka Square, Lantai Ground
Jl. Kelapa Nias Raya, Kelapa Gading, Jakarta Utara",150000,4.09,2025-06-03 22:23:38.981496,Jakarta Utara,Barat Barat Jakarta Utara
Hang Tuah Kopi  Toastery,Kafe,"Kuningan City, Lantai Upper Ground
Jl. Prof Dr Satrio, Kuningan, Jakarta Selatan",75000,4.36,2025-06-03 22:23:39.241571,Jakarta Selatan,Kafe Kafe Jakarta Selatan
The Peoples Cafe,Kafe,"Menara Rajawali, Lantai Ground, Kawasan Mega Kuningan
Jl. Dr. Ide Anak Agung Gde Agung, Kuningan, Jakarta Selatan",150000,4.25,2025-06-03 22:23:39.507296,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Ganesha Ek Sanskriti,India,"Kemang Square, Lantai 2
Jl. Kemang Raya No. 3A, Kemang, Jakarta Selatan",150000,4.25,2025-06-03 22:23:39.769843,Jakarta Selatan,India India Jakarta Selatan
Nour Restaurant  Shisha,Arab/Timur Tengah,"Jl. Siaga Raya No. 44, Pasar Minggu, Jakarta Selatan",75000,4.31,2025-06-03 22:23:40.037938,Jakarta Selatan,Arab/Timur Tengah Arab/Timur Tengah Jakarta Selatan
Osteria Gia,Italia,"Plaza Indonesia, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.15,2025-06-03 22:23:40.299380,Jakarta Pusat,Italia Italia Jakarta Pusat
Wood  Brew Cafe,Kafe,"Jl. Tebet Timur Raya No. 8D, Tebet, Jakarta Selatan",75000,4.57,2025-06-03 22:23:40.563064,Jakarta Selatan,Kafe Kafe Jakarta Selatan
The RR Chocolate  Grand Sahid Jaya Hotel,Kafe,"Grand Sahid Jaya Hotel
Jl. Jenderal Sudirman Kav. 86, Sudirman, Jakarta Pusat",150000,4.4,2025-06-03 22:23:40.815468,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Arts Cafe  Raffles Jakarta Hotel,Barat,"Raffles Jakarta Hotel, Lantai 1
Jl. Prof Dr Satrio No. 3 - 5, Karet Kuningan, Setiabudi, Jakarta Selatan",200000,4.15,2025-06-03 22:23:41.075054,Jakarta Selatan,Barat Barat Jakarta Selatan
Artikula Coffee  Eatery,Kafe,"Jl. Cilangkap Raya No. 46, Cipayung, Jakarta Timur",50000,4.19,2025-06-03 22:23:41.349701,Jakarta Timur,Kafe Kafe Jakarta Timur
Cafe Phyto Organic,Kafe,"Jl. Surya Mandala No. 10, Kebon Jeruk, Jakarta Barat",50000,4.22,2025-06-03 22:23:41.628555,Jakarta Barat,Kafe Kafe Jakarta Barat
Pizza Napoletana,Italia,"Jl. Kelapa Lilin IV Blok NG9 No. 3, Kelapa Gading, Jakarta Utara",75000,4.45,2025-06-03 22:23:45.267935,Jakarta Utara,Italia Italia Jakarta Utara
KOI The,Kafe,"Grand Indonesia Mall, Lantai 3A, West Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.06,2025-06-03 22:23:45.526077,Jakarta Pusat,Kafe Kafe Jakarta Pusat
LOVEster Shack,Barat,"Jl. Terogong Raya No. 36, Pondok Indah, Jakarta Selatan",150000,4.2,2025-06-03 22:23:45.695716,Jakarta Selatan,Barat Barat Jakarta Selatan
Kongkow Coffee  Eatery,Kafe,"RDTX Tower, Lantai Ground
Jl. Prof Dr Satrio Kav. E4 No. 6, Karet Kuningan, Setiabudi, Jakarta Selatan",75000,4.16,2025-06-03 22:23:45.892217,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Kenangan Heritage,Kafe,"Senayan City, Lantai Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.17,2025-06-03 22:23:46.068924,Jakarta Selatan,Kafe Kafe Jakarta Selatan
PokenbiR,Barat,"Lippo Kuningan Building, Lantai Ground
Jl. HR Rasuna Said Kav. 12B, Kuningan, Jakarta Selatan",150000,4.06,2025-06-03 22:23:46.206306,Jakarta Selatan,Barat Barat Jakarta Selatan
Little House Baked Goods,Toko Roti,"Jl. Tebet Timur Dalam I No. 34, Tebet, Jakarta Selatan",50000,4.29,2025-06-03 22:23:46.301787,Jakarta Selatan,Toko Roti Toko Roti Jakarta Selatan
Din Tai Fung Chefs Table,China,"Puri Indah Mall, Lantai 2
Jl. Puri Indah Raya, Puri, Jakarta Barat",150000,4.2,2025-06-03 22:23:46.447924,Jakarta Barat,China China Jakarta Barat
Sakana,Jepang,"MidPlaza 1, Lantai Basement
Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,4.18,2025-06-03 22:23:46.636574,Jakarta Pusat,Jepang Jepang Jakarta Pusat
Pesisir Seafood,Indonesia,"Jl. Meruya Ilir No. 9, Meruya, Jakarta Barat",150000,4.22,2025-06-03 22:23:46.809451,Jakarta Barat,Indonesia Indonesia Jakarta Barat
August,Barat,"Sequis Tower, Lantai Ground
Jl. Jenderal Sudirman Kav. 71, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.6,2025-06-03 22:23:46.940491,Jakarta Selatan,Barat Barat Jakarta Selatan
Baby Dutch Pancake,Kafe,"Grand Indonesia Mall, Lantai 3A, West Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.13,2025-06-03 22:23:47.046089,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Maketh Coffee  Eatery,Kafe,"Jl. Danau Agung II Blok C18 No. 15A, Sunter, Jakarta Utara",75000,4.11,2025-06-03 22:23:50.816795,Jakarta Utara,Kafe Kafe Jakarta Utara
Dia Honest Coffee and Bakes,Kafe,"Jl. Taman Daan Mogot I No. 5, Tanjung Duren, Jakarta Barat",75000,4.22,2025-06-03 22:23:51.072728,Jakarta Barat,Kafe Kafe Jakarta Barat
UKI Matcha,Kafe,"SCBD Park, Lot 6
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",75000,4.25,2025-06-03 22:23:51.269867,Jakarta Selatan,Kafe Kafe Jakarta Selatan
NOB Cafe  Patisserie,Kafe,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",150000,4.26,2025-06-03 22:23:51.765666,Jakarta Utara,Kafe Kafe Jakarta Utara
Cwims,Indonesia,"Jl. Tebet Raya No. 52B, Tebet, Jakarta Selatan",50000,4.26,2025-06-03 22:23:52.014088,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
Midori Coffee,Kafe,"Jl. KH Wahid Hasyim No. 106, Menteng, Jakarta Pusat",50000,4.4,2025-06-03 22:23:52.538623,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Kintaro Sushi,Jepang,"Jl. Suryo No. 20, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.11,2025-06-03 22:23:52.806309,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Honest Spoon,Es Krim,"Jl. Tebet Raya No. 31, Tebet, Jakarta Selatan",50000,4.25,2025-06-03 22:23:53.075676,Jakarta Selatan,Es Krim Es Krim Jakarta Selatan
Marugame Udon,Jepang,"The Park Pejaten, Lantai Ground
Jl. Warung Jati Barat, Pasar Minggu, Jakarta Selatan",75000,4.43,2025-06-03 22:23:53.349127,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Nure House,Kafe,"Jl. Raya Kelapa Dua Wetan No. 12, Ciracas, Jakarta Timur",50000,4.47,2025-06-03 22:23:53.612869,Jakarta Timur,Kafe Kafe Jakarta Timur
Shu Guo Yin Xiang,China,"Plaza Indonesia, Lantai 4
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.24,2025-06-03 22:23:57.373924,Jakarta Pusat,China China Jakarta Pusat
Teazzi,Minuman,"Puri Indah Mall, Lantai 2
Jl. Puri Indah Raya, Puri, Jakarta Barat",50000,4.16,2025-06-03 22:23:57.478659,Jakarta Barat,Minuman Minuman Jakarta Barat
Terasa,Kafe,"Jl. Cempaka Putih Tengah II No. F34, Cempaka Putih, Jakarta Pusat",75000,4.68,2025-06-03 22:23:57.716292,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Pondok Nusantara,Indonesia,"Ruko Garden House, Blok B No. 9, Bukit Golf Mediterania
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.68,2025-06-03 22:23:57.985308,Jakarta Utara,Indonesia Indonesia Jakarta Utara
Emilia Cucina Italiana,Italia,"Segitiga Pondok Indah
Jl. Gedung Hijau Raya, Pondok Indah, Jakarta Selatan",150000,4.68,2025-06-03 22:23:58.254025,Jakarta Selatan,Italia Italia Jakarta Selatan
Lugua Cafe,Kafe,"Segitiga Pondok Indah
Jl. Gedung Hijau Raya, Pondok Indah, Jakarta Selatan",150000,4.68,2025-06-03 22:23:58.524483,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Ramen SeiRockYa,Jepang,"Jl. KH Ahmad Dahlan No. 22A, Gandaria, Jakarta Selatan",75000,4.1,2025-06-03 22:23:58.799886,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Union,Barat,"Central Park, Tribeca Park, Lantai Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.08,2025-06-03 22:23:59.068825,Jakarta Barat,Barat Barat Jakarta Barat
Hang Tuah Kopi  Toastery,Kafe,"Ruko Mall of Indonesia, Italian Walk, Blok B No. 43 (Seberang Lobby 8)
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",75000,4.11,2025-06-03 22:23:59.352707,Jakarta Utara,Kafe Kafe Jakarta Utara
The Social Pot,"Jepang,Thailand","Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.28,2025-06-03 22:23:59.608569,Jakarta Barat,"Jepang,Thailand Jepang,Thailand Jakarta Barat"
Plataran,Indonesia,"Komplek Gelora Bung Karno, Hutan Kota Plataran
Jl. Jenderal Sudirman Kav. 54 - 55, Sudirman, Jakarta Pusat",200000,4.16,2025-06-03 22:23:59.860441,Jakarta Pusat,Indonesia Indonesia Jakarta Pusat
Kimukatsu,Jepang,"Mal Kelapa Gading 3, Lantai 3
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.19,2025-06-03 22:24:00.124159,Jakarta Utara,Jepang Jepang Jakarta Utara
Oma Elly,Es Krim,"Grand Indonesia Mall, Lantai Lower Ground, West Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.22,2025-06-03 22:24:03.940637,Jakarta Pusat,Es Krim Es Krim Jakarta Pusat
Silk Bistro,"Jepang,Thailand,China","Jl. Teuku Cik Ditiro No. 46, Menteng, Jakarta Pusat",200000,4.28,2025-06-03 22:24:04.167136,Jakarta Pusat,"Jepang,Thailand,China Jepang,Thailand,China Jakarta Pusat"
Warung Leko,Indonesia,"Pondok Indah Mall 1, Lantai 2
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",75000,4.63,2025-06-03 22:24:04.437102,Jakarta Selatan,Indonesia Indonesia Jakarta Selatan
Marutama Ramen,Jepang,"Lotte Mall Jakarta, Lantai 3
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",150000,4.26,2025-06-03 22:24:04.693622,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Magia Coffee,Kafe,"Jl. Fatmawati (Dekat MRT H. Nawi), Fatmawati, Jakarta Selatan",75000,4.15,2025-06-03 22:24:04.972025,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Seasonal Tastes  Hotel The Westin Jakarta,"Barat,Indonesia","Hotel The Westin Jakarta, Lantai 51
Jl. HR Rasuna Said Blok C No. 22, Kuningan, Jakarta Selatan",200000,4.09,2025-06-03 22:24:05.239749,Jakarta Selatan,"Barat,Indonesia Barat,Indonesia Jakarta Selatan"
Sushi Hiro,Jepang,"Neo Soho Mall, Lantai Upper Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.07,2025-06-03 22:24:05.492483,Jakarta Barat,Jepang Jepang Jakarta Barat
Monsieur Spoon,Kafe,"Kota Kasablanka, Lantai Ground
Jl. Casablanca Raya, Tebet, Jakarta Selatan",150000,4.14,2025-06-03 22:24:05.750604,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Bonbonbites,Toko Kue,"Ruko Beach Boulevard, Blok B
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.51,2025-06-03 22:24:06.029382,Jakarta Utara,Toko Kue Toko Kue Jakarta Utara
Kedaiwa,Indonesia,"Jl. Pluit Karang Barat Blok O6 Barat No. 15B, Muara Karang, Penjaringan, Jakarta Utara",50000,4.35,2025-06-03 22:24:06.273565,Jakarta Utara,Indonesia Indonesia Jakarta Utara
Backdoor,Kafe,"Ruko Sixth Avenue, West Land, Blok H6A No. 3 & 5
Jl. Raya Citra Garden 6, Cengkareng, Jakarta Barat",75000,4.33,2025-06-03 22:24:06.544846,Jakarta Barat,Kafe Kafe Jakarta Barat
Uma Oma,Kafe,"Jl. Melawai I No. 28, Melawai, Kebayoran Baru, Jakarta Selatan",75000,4.36,2025-06-03 22:24:06.819084,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Honu Poke  Matcha Bar,Hawaii,"Jl. Kemang Selatan No. 125, Kemang, Jakarta Selatan",75000,4.06,2025-06-03 22:24:10.526880,Jakarta Selatan,Hawaii Hawaii Jakarta Selatan
Yakiniku Like,Jepang,"Pacific Place Mall, Lantai 5
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.68,2025-06-03 22:24:10.776705,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Rempah Bistro,Indonesia,"Central Park, Lantai 1
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.2,2025-06-03 22:24:10.916571,Jakarta Barat,Indonesia Indonesia Jakarta Barat
Valitas Gluten Free Bakery  Coffee,Kafe,"Jl. Sedayu City Kelapa Gading Blok B No. 36, Kelapa Gading, Jakarta Utara",50000,4.68,2025-06-03 22:24:11.143865,Jakarta Utara,Kafe Kafe Jakarta Utara
Ben Gongs Tea,Kafe,"Plaza Indonesia, Lantai 4
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.05,2025-06-03 22:24:11.405758,Jakarta Pusat,Kafe Kafe Jakarta Pusat
Steak On Top,Barat,"Wisma Mertha, Lantai 3
Jl. Kelapa Kopyor Blok BC2 No. 14, Kelapa Gading, Jakarta Utara",150000,4.18,2025-06-03 22:24:11.679462,Jakarta Utara,Barat Barat Jakarta Utara
Noble by Zab Thai,Thailand,"Kuningan City, Lantai Ground
Jl. Prof Dr Satrio, Kuningan, Jakarta Selatan",150000,4.1,2025-06-03 22:24:11.838953,Jakarta Selatan,Thailand Thailand Jakarta Selatan
OSCAR,Italia,"Altitude The Plaza, Lantai 46
Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,4.57,2025-06-03 22:24:12.014709,Jakarta Pusat,Italia Italia Jakarta Pusat
BSteak Grill  Pancake,Barat,"Jl. Muara Karang Raya No. 42, Muara Karang, Penjaringan, Jakarta Utara",150000,4.11,2025-06-03 22:24:12.114784,Jakarta Utara,Barat Barat Jakarta Utara
Evlogia Cafe  Co,Kafe,"Jl. Cisanggiri I No. 6, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.09,2025-06-03 22:24:12.358015,Jakarta Selatan,Kafe Kafe Jakarta Selatan
OMG Oh My Grill,Korea,"Jl. Boulevard Raya Blok QJ1 No. 18 - 19, Kelapa Gading, Jakarta Utara",150000,4.15,2025-06-03 22:24:12.612059,Jakarta Utara,Korea Korea Jakarta Utara
Ocean 8 Seafood  Dimsum Bar,China,"St Moritz Mall (Lippo Mall Puri), Lantai Ground
Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",150000,4.14,2025-06-03 22:24:12.848180,Jakarta Barat,China China Jakarta Barat
7 Speed Coffee,Kafe,"Jl. Panglima Polim III No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",75000,4.13,2025-06-03 22:24:16.639238,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Vong Kitchen  Alila Hotel SCBD,Barat,"Alila Hotel SCBD, Lantai Lobby
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.21,2025-06-03 22:24:16.887359,Jakarta Selatan,Barat Barat Jakarta Selatan
Maison Feerie,"Toko Roti dan Kue,Kafe","Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.12,2025-06-03 22:24:17.137632,Jakarta Barat,"Toko Roti dan Kue,Kafe Toko Roti dan Kue,Kafe Jakarta Barat"
Yakiniku Like,Jepang,"Pondok Indah Mall 3, Lantai 3, Foodcourt
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.27,2025-06-03 22:24:17.418179,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Song Fa Bak Kut Teh,China,"Central Park, Lantai 3
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.09,2025-06-03 22:24:17.683003,Jakarta Barat,China China Jakarta Barat
Motto Yakiniku,Jepang,"Jl. Pluit Kencana No. 128A - B, Pluit, Penjaringan, Jakarta Utara",200000,4.4,2025-06-03 22:24:17.955399,Jakarta Utara,Jepang Jepang Jakarta Utara
Pendopo  Hotel Borobudur,Indonesia,"Hotel Borobudur
Jl. Lapangan Banteng Selatan, Pasar Baru, Sawah Besar, Jakarta Pusat",200000,4.68,2025-06-03 22:24:18.213187,Jakarta Pusat,Indonesia Indonesia Jakarta Pusat
Dandy Co Bakery  Cafe,Toko Roti dan Kue,"Ruko Griya Inti Sentosa, Blok A No. 16
Jl. Griya Utama, Sunter, Jakarta Utara",50000,4.33,2025-06-03 22:24:18.485498,Jakarta Utara,Toko Roti dan Kue Toko Roti dan Kue Jakarta Utara
XIYUE,"Es Krim,Minuman","Gedung Sarinah, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.29,2025-06-03 22:24:18.764288,Jakarta Pusat,"Es Krim,Minuman Es Krim,Minuman Jakarta Pusat"
Sushi Hiro,Jepang,"Cove at Batavia PIK
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.29,2025-06-03 22:24:19.015902,Jakarta Utara,Jepang Jepang Jakarta Utara
Feel Matcha,Kafe,"Jl. Kemang Timur XI No. 47, Kemang, Jakarta Selatan",50000,4.11,2025-06-03 22:24:19.291320,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Sehela Kopi,Kafe,"Jl. Pondok Labu I No. 8B, Fatmawati, Jakarta Selatan",150000,4.13,2025-06-03 22:24:19.552979,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Gong cha,Bubble Tea,"Lotte Mall Jakarta, Lantai Lower Ground
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",50000,4.23,2025-06-03 22:24:23.155780,Jakarta Selatan,Bubble Tea Bubble Tea Jakarta Selatan
Union,Barat,"Pondok Indah Mall 1, Street Gallery, Lantai Ground
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.08,2025-06-03 22:24:23.279052,Jakarta Selatan,Barat Barat Jakarta Selatan
Rica Rico Cakery,Toko Kue,"Emporium Pluit Mall, Lantai Lower Ground
Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara",50000,4.4,2025-06-03 22:24:23.454370,Jakarta Utara,Toko Kue Toko Kue Jakarta Utara
Vilo Gelato,Es Krim,"Jl. Langsat I No. 3C, Gandaria, Jakarta Selatan",50000,4.15,2025-06-03 22:24:23.685138,Jakarta Selatan,Es Krim Es Krim Jakarta Selatan
Bakmi Berdikari,"Indonesia,China","Jl. Dewi Sartika No. 136A, Cawang, Jakarta Timur",75000,4.27,2025-06-03 22:24:23.953820,Jakarta Timur,"Indonesia,China Indonesia,China Jakarta Timur"
Hachi Grill,Jepang,"Synthesis Square, Tower 2, Lantai Ground
Jl. Gatot Subroto No. 177A, Gatot Subroto, Jakarta Selatan",200000,4.27,2025-06-03 22:24:24.217544,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Sushi Tei,Jepang,"Pondok Indah Mall 2, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.1,2025-06-03 22:24:24.457974,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Cotti Coffee,Kafe,"Jl. Boulevard Raya Blok LB3 No. 18, Kelapa Gading, Jakarta Utara",50000,4.6,2025-06-03 22:24:24.729427,Jakarta Utara,Kafe Kafe Jakarta Utara
Holycow STEAKHOUSE by Chef Afit,Barat,"Cilandak Town Square, Lantai 1
Jl. TB Simatupang, Cilandak, Jakarta Selatan",200000,4.18,2025-06-03 22:24:24.946261,Jakarta Selatan,Barat Barat Jakarta Selatan
Sushi Sei,Jepang,"Plaza Senayan, Lantai 4
Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,4.27,2025-06-03 22:24:25.194406,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Rempah Bistro,Indonesia,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.24,2025-06-03 22:24:25.328894,Jakarta Utara,Indonesia Indonesia Jakarta Utara
Chavaty,Kafe,"Senayan City, Lantai 1
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.2,2025-06-03 22:24:25.575952,Jakarta Selatan,Kafe Kafe Jakarta Selatan
Sliced Pizzeria,Italia,"Crumble Crew
Jl. Tulodong Bawah No. 1A, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.19,2025-06-03 22:24:29.394555,Jakarta Selatan,Italia Italia Jakarta Selatan
Salad  Sushi 368,Jepang,"Plaza Blok M, Lantai 6
Jl. Bulungan No. 76, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.19,2025-06-03 22:24:29.650592,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Santhai,Thailand,"Senayan City, Lantai 5
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.38,2025-06-03 22:24:29.926055,Jakarta Selatan,Thailand Thailand Jakarta Selatan
Ramen SeiRockYa,Jepang,"Cilandak Town Square, Lantai 1
Jl. TB Simatupang, Cilandak, Jakarta Selatan",75000,4.38,2025-06-03 22:24:30.179652,Jakarta Selatan,Jepang Jepang Jakarta Selatan
Hoghock,China,"Ruko Elang Laut, Blok D No. 59
Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.19,2025-06-03 22:24:30.396694,Jakarta Utara,China China Jakarta Utara
Sushi Hiro,Jepang,"Mall Taman Anggrek, Lantai 4
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.19,2025-06-03 22:24:30.476825,Jakarta Barat,Jepang Jepang Jakarta Barat
Genki Sushi,Jepang,"Central Park, Lantai Upper Ground, SOGO
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.11,2025-06-03 22:24:30.661964,Jakarta Barat,Jepang Jepang Jakarta Barat
