Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Isshin,Jepang,"Kota Kasablanka, Lantai Upper Ground, Food Society
Jl. Casablanca Raya, Tebet, Jakarta Selatan",150000,4.34,2025-06-03 22:21:34.195089
Cutt & Grill,Barat,"Jl. Suryo No. 32, Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.41,2025-06-03 22:21:37.777493
Haiseafood,Indonesia,"Jl. Tomang Raya No. 7, Tomang, Jakarta Barat",150000,4.51,2025-06-03 22:21:37.908143
Sushi Maru,Jepang,"Ruko Beach Boulevard, Blok B No. 75 - 76
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.31,2025-06-03 22:21:38.170842
Roji Ramen,Jepang,"Kamaja
Jl. Kyai Maja Blok E No. 78 - 79, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.38,2025-06-03 22:21:38.447508
Lee Palace,China,"Harmoni Exchange Center, Lantai 3
Jl. Hayam Wuruk No. 6, Hayam Wuruk, Jakarta Pusat",150000,4.29,2025-06-03 22:21:38.709047
Warung Mataram,Indonesia,"Jl. Kelapa Hibrida Raya Blok QH12 No. 8, Kelapa Gading, Jakarta Utara",50000,4.83,2025-06-03 22:21:38.951802
Hibara Ramen,Jepang,"Jl. Panglima Polim V No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",75000,4.38,2025-06-03 22:21:39.082078
Naughty Olive,Kafe,"Bounce Street Asia, Lantai 2
Jl. Artha Gading Selatan, Kelapa Gading, Jakarta Utara",75000,4.39,2025-06-03 22:21:39.351639
Warung Leko,Indonesia,"Plaza Senayan, Lantai Basement, The FoodHall
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.46,2025-06-03 22:21:39.586167
Warung Kina,Indonesia,"Jl. Mangga Besar Raya No. 38B, Mangga Besar, Jakarta Barat",50000,4.96,2025-06-03 22:21:39.843689
Haidilao Hot Pot,China,"Grand Indonesia Mall, Lantai Upper Ground, East Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,4.37,2025-06-03 22:21:40.098551
Pho Ba Ba,Vietnam,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.35,2025-06-03 22:21:40.183593
Exquise Patisserie,Kafe,"Jl. Gunawarman No. 18, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.31,2025-06-03 22:21:43.682474
Yakiniku Like,Jepang,"St Moritz Mall (Lippo Mall Puri), Lantai Lower Ground, Takeshita Street
Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",150000,4.27,2025-06-03 22:21:43.913516
Sushi Hiro,Jepang,"Senayan City, Lantai 5
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.32,2025-06-03 22:21:44.176703
Halo Bali! Dining,Indonesia,"Jl. Karet Pedurenan Gang H. Sidik No. 135, Karet Kuningan, Setiabudi, Jakarta Selatan",75000,4.31,2025-06-03 22:21:44.428403
Maikeru,Jepang,"Jl. Tulodong Atas No. 28, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.26,2025-06-03 22:21:44.702723
Gruham Coffee & Bistro,Kafe,"Jl. Panglima Polim V No. 21, Panglima Polim, Kebayoran Baru, Jakarta Selatan",75000,4.32,2025-06-03 22:21:44.807305
Orasa's,Thailand,"ASHTA District 8, Lantai Ground
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.31,2025-06-03 22:21:44.919630
Gyu Kaku,Jepang,"Gandaria City, Lantai Upper Ground, Mainstreet Dining
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",200000,4.44,2025-06-03 22:21:45.182126
Mixue,"Es Krim,Minuman","Jl. Muwardi I No. 15C, Grogol, Jakarta Barat",50000,4.28,2025-06-03 22:21:45.457323
Amuz,Perancis,"Energy Building, Lantai 2
Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.45,2025-06-03 22:21:45.734598
Coco Bakehouse,"Toko Roti dan Kue,Kafe","Ruko Grand Orchard Square, Blok D No. 9
Jl. Terusan Kelapa Hibrida, Kelapa Gading, Jakarta Utara",50000,4.32,2025-06-03 22:21:45.910566
Kalia,"Indonesia,Barat","Jl. Asem Baris Raya No. 121, Tebet, Jakarta Selatan",75000,4.28,2025-06-03 22:21:45.990019
TERU,Jepang,"Jl. Barito I No. 19, Blok M, Kebayoran Baru, Jakarta Selatan",150000,4.28,2025-06-03 22:21:49.561103
Plataran,Indonesia,"Jl. HOS Cokroaminoto No. 42, Menteng, Jakarta Pusat",200000,4.34,2025-06-03 22:21:49.783888
Paris Sorbet,Dessert,"Graha Tirta
Jl. Wolter Monginsidi No. 71, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.25,2025-06-03 22:21:50.026262
The Social Pot,"Jepang,Thailand","Kota Kasablanka, Lantai Lower Ground
Jl. Casablanca Raya, Tebet, Jakarta Selatan",150000,4.3,2025-06-03 22:21:50.264097
Kopi Selamat Pagi,Kafe,"Jl. Summagung III No. 17, Kelapa Gading, Jakarta Utara",75000,4.34,2025-06-03 22:21:50.507560
